company_nmls_id,license_number,license_class,ofr_status,initial_approval_on,status_effective_on,source_clock,source_dataset,source_record_id,source_observed_on,firm_name,prim_address1,prim_address2,prim_city,prim_county,prim_state,prim_zip,phone,servicer_flag,raw_metadata
1281,MLD1894,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1894,2026-08-28,1ST NATIONWIDE MORTGAGE CORPORATION,24012 CALLE DE LA PLATA,STE 430,LAGUNA HILLS,ORANGE,CA,92653,,,
27801,MLD352,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD352,2026-08-28,1ST OPTION FINANCIAL LLC,7501 WEST OAKLAND PARK BLVD,SUITE # 102,FORT LAUDERDALE,BROWARD,FL,33319,954-747-4432,,
192767,MLD739,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD739,2026-08-28,1ST PORTFOLIO LENDING CORPORATION,12700 FAIR LAKES CIRCLE,FOURTH FLOOR,FAIRFAX,FAIRFAX,VA,22033,(703) -56-4-9100,,
132754,MLD730,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD730,2026-08-28,1ST PREFERENCE MORTGAGE CORP.,9423 BELAIR ROAD,,BALTIMORE,BALTIMORE,MD,21236,4105297300,,
29600,MLD2477,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2477,2026-08-28,"1ST PRIORITY MORTGAGE, INC.",6000 SHERIDAN DRIVE,,WILLIAMSVILLE,ERIE,NY,14221,7166515626,,
37411,MLD1188,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1188,2026-08-28,"1ST RATE HOME MORTGAGE, INC.",401 W. BASELINE RD. #102,,TEMPE,MARICOPA,AZ,85283,4807762555,,
36659,MLD846,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD846,2026-08-28,"1ST RELIANT HOME LOANS, INC.",3002 DOW AVENUE,SUITE 202,TUSTIN,ORANGE,CA,92780,,,
27820,MLD1243,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1243,2026-08-28,"1ST SIGNATURE LENDING, LLC",54 NORTH 9TH STREET,SUITE 254,NOBLESVILLE,HAMILTON,IN,46060,,,
384859,MLD943,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD943,2026-08-28,"1ST UNITED HOME LOANS, LLC.",10300 SW 72ST,#470E,MIAMI,DADE,FL,33173,(954) -60-7-8024,,
2280,MLD71,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD71,2026-08-28,21ST MORTGAGE CORPORATION,607 MARKET ST,STE 521,KNOXVILLE,HENRY,TN,37902-2210,8656377881,Yes,
1082016,MLD970,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD970,2026-08-28,247 HOMELOANS.NET,801 W BLOOMINGDALE AVE,,BRANDON,HILLSBOROUGH,FL,33511,8139029038,,
2597695,MLD2571,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2571,2026-08-28,2BTRUST LLC,7345 W SAND LAKE RD,SUITE 227,ORLANDO,ORANGE,FL,32819,8888855836,Yes,
2796890,MLD2792,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2792,2026-08-28,"360 ACQUISITIONS, LLC",407 LINCOLN ROAD,PH-NE,MIAMI BEACH,,FL,33139,3055886988,,
155922,MLD441,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD441,2026-08-28,"360 MORTGAGE GROUP, LLC",11305 FOUR POINTS DR,"BUILDING 1, SUITE 200",AUSTIN,TRAVIS,TX,78726,512-418-6098,Yes,
2617416,MLD2637,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2637,2026-08-28,3E CAPITAL LLC,6272 SPRING MOUNTAIN RD,SUITE 110,LAS VEGAS,CLARK,NV,89146,8606567808,,
57962,MLD118,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD118,2026-08-28,3RD FINANCIAL SERVICE CORPORATION,762 MALLISON AVE,,AKRON,SUMMIT,OH,44307,330-535-6005,Yes,
1436495,MLD1634,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1634,2026-08-28,"5TH STREET CAPITAL, INC.",2020 CAMINO DEL RIO N,SUITE 215,SAN DIEGO,SAN DIEGO,CA,92108,8887023385,Yes,
2656160,MLD2639,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2639,2026-08-28,77 STRATEGIC SERVICES LLC,8375 SW BEAVERTON HILLSDALE HW,SUITE 200,PORTLAND,WASHINGTON,OR,97225,5037194931,Yes,
1003861,MLD1021,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1021,2026-08-28,7TH LEVEL MORTGAGE LIMITED LIABILITY COMPANY,401 RT 70 E,STE 208,CHERRY HILL,CAMDEN,NJ,08034,8563220233,,
332360,MLD410,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD410,2026-08-28,"A & A MORTGAGE, INC.","2121 KILLARNEY WAY, SUITE A",,TALLAHASSEE,LEON,FL,32309,850-383-9999,,
17807,MLD271,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD271,2026-08-28,A & D FINANCIAL CORP.,20803 BISCAYNE BLVD,STE #302,AVENTURA,DADE,FL,33180,305-760-7000,Yes,
19291,MLD288,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD288,2026-08-28,"A & N MORTGAGE SERVICES, INC.",1535 N DAYTON,,CHICAGO,COOK,IL,60622,(773) -30-5-5626,,
1869505,MLD1809,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1809,2026-08-28,"A MORTGAGE BOUTIQUE, LLC",1574 MEDICAL CENTER PARKWAY,SUITE 101,MURFREESBORO,RUTHERFORD,TN,37129,6155841488,Yes,
2664441,MLD2769,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2769,2026-08-28,"A PLUS LENDERS,CORP",5001 COLLINS AVE PH 4,,MIAMI BEACH,,FL,33140,,,
958660,MLD858,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD858,2026-08-28,A&D MORTGAGE LLC,899 W CYPRESS CREEK RD,,FT. LAUDERDALE,BROWARD,FL,33309,3057607000,Yes,
340345,MLD454,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD454,2026-08-28,A+ FINANCIAL EQUITIES CORP.,2500 HALLANDALE BEACH BLVD. SU,,HALLANDALE BEACH,DADE,FL,33160-4463,305-931-2272,,
259353,MLD1160,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1160,2026-08-28,"A+ MORTGAGE SERVICES, INC.",W188 S7820 RACINE AV. #100,,MUSKEGO,WAUKESHA,WI,53150,2626798500,Yes,
2748,MLD1053,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1053,2026-08-28,"A-PLUS MORTGAGE, LLC",300 CENTERVILLE ROAD,"THE SUMMIT WEST, SUITE 201",WARWICK,KENT,RI,02886,,,
268370,MLD1759,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1759,2026-08-28,A1 MORTGAGE GROUP LLC,200 NE MISSOURI ROAD,SUITE 200,LEES SUMMIT,JACKSON,MO,64086,8168228888,,
1859242,MLD1955,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1955,2026-08-28,"AA HOME LOANS, LLC",514 OLDHAM STREET,,BALTIMORE,BALTIMORE CITY,MD,21224,4106278010,,
295075,MLD2154,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2154,2026-08-28,"AAA CAPITAL INVESTMENT, INC.",41 E LIVE OAK AVE,,ARCADIA,LOS ANGELES,CA,91006,6263089793,,
388928,MLD204,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD204,2026-08-28,"AAA MORTGAGE, LC",10067 PINES BOULEVARD,SUITE A,PEMBROKE PINES,BROWARD,FL,33024,954-436-0114,Yes,
388928,MLD774,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD774,2026-08-28,"AAA MORTGAGE, LC",10067 PINES BOULEVARD,SUITE A,PEMBROKE PINES,BROWARD,FL,33024,954-436-0114,Yes,
1261524,MLD1236,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1236,2026-08-28,"AAFA, LLC",9330 N.W. 50 DORAL CIRCLE SOUT,,DORAL,DADE,FL,33178,3055824560,,
1423968,MLD1376,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1376,2026-08-28,AAFMAA MORTGAGE SERVICES LLC,2000 REGENCY PARKWAY,SUITE 140,CARY,WAKE,NC,27518,7037634211,,
138858,MLD609,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD609,2026-08-28,"AAPEX FINANCIAL SOLUTIONS, INC.",7337 ST. ANDREWS RD,STE E,COLUMBIA,,SC,29212,803-750-8040,,
275971,MLD2505,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2505,2026-08-28,AAXY L.L.C.,13284 POND SPRINGS RD SUITE 20,,AUSTIN,WILLIAMSON,TX,78729,5122198148,,
374095,MLD43,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD43,2026-08-28,ABBEY MORTGAGE OF OCALA INC,2107 SE 3RD AVE,,OCALA,MARION,FL,34471,3523694200,,
136315,MLD201,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD201,2026-08-28,"ABI MORTGAGE, INC.",1707 N. RANDALL ROAD,SUITE 155,ELGIN,KANE,IL,60123,(847) -58-5-1995,,
473970,MLD2120,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2120,2026-08-28,ABLE FINANCIAL INC.,"6400 SOUTH FIDDLERS GREEN CIR,",SUITE 300,GREENWOOD VILLAGE,ARAPAHOE,CO,80111,(303) 325-5884,,
1494707,MLD1466,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1466,2026-08-28,ABM FUNDING INC.,701 N. GREEN VALLEY PARKWAY #2,SUITE #243,HENDERSON,CLARK,NV,89074,8447003863,,
176743,MLD2617,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2617,2026-08-28,ABSOLUTE HOME MORTGAGE CORPORATION,165 PASSAIC AVENUE,SUITE 411,FAIRFIELD,ESSEX,NJ,07004,(267) 296-9308,Yes,
176743,MLD424,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD424,2026-08-28,ABSOLUTE HOME MORTGAGE CORPORATION,165 PASSAIC AVENUE,SUITE 411,FAIRFIELD,ESSEX,NJ,07004,((97) 3)7-85-333,,
1103,MLD783,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD783,2026-08-28,"ABSOLUTE MORTGAGE COMPANY, INC.","1247 WARD AVENUE, UNIT 200A",,WEST CHESTER,CHESTER,PA,19380,610-436-0500,,
3113,MLD241,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD241,2026-08-28,ACADEMY MORTGAGE CORPORATION,1218 EAST 7800 SOUTH,SUITE 100,SANDY,SALT LAKE,UT,84094,801-233-3700,Yes,
1711853,MLD1629,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1629,2026-08-28,"ACCELERATE MORTGAGE, LLC",5810 TENNYSON PARKWAY,SUITE 290,PLANO,COLLIN,TX,75024,3122546902,,
379688,MLD586,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD586,2026-08-28,ACCENT MORTGAGE CORPORATION,770 COUNTRY CLUB DR,,TITUSVILLE,BREVARD,FL,32780,321-268-9600,,
2225,MLD482,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD482,2026-08-28,ACCEPTANCE CAPITAL MORTGAGE CORPORATION,113 EAST MAGNESIUM ROAD,UNIT D,SPOKANE,SPOKANE,WA,99208,509-928-1123,,
2625502,MLD2673,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2673,2026-08-28,ACCESS HOME LENDING LLC,23832 ROCKFIELD BLVD,STE 235,LAKE FOREST,ORANGE,CA,92630,9492716490,,
2226891,MLD2675,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2675,2026-08-28,"ACCUFUNDS FINANCIAL, LLC",5164 WEST COLONIAL DR,,ORLANDO,ORANGE,FL,32808,6898676431,,
255368,MLD34,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD34,2026-08-28,ACCUNET MORTGAGE LLC,13000 W. SILVER SPRING DR.,,BUTLER,,WI,53007,2622525102,,
375575,MLD1215,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1215,2026-08-28,"ACCURATE MORTGAGE GROUP, INC",7901 KINGSPOINTE PARKWAY,SUITE 21,ORLANDO,ORANGE,FL,32819,4078565622,,
375575,MLD467,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD467,2026-08-28,"ACCURATE MORTGAGE GROUP, INC",7901 KINGSPOINTE PARKWAY,SUITE 21,ORLANDO,ORANGE,FL,32819,407-856-5622,Yes,
375575,MLD876,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD876,2026-08-28,"ACCURATE MORTGAGE GROUP, INC",7901 KINGSPOINTE PARKWAY,SUITE 21,ORLANDO,ORANGE,FL,32819,407-856-5622,,
223104,MLD1030,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1030,2026-08-28,ACE MORTGAGE LOAN CORPORATION,10181 WEST SAMPLE ROAD,SUITE 100,CORAL SPRINGS,BROWARD,FL,33065,9547774774,,
223104,MLD341,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD341,2026-08-28,ACE MORTGAGE LOAN CORPORATION,10181 WEST SAMPLE ROAD,SUITE 100,CORAL SPRINGS,BROWARD,FL,33065,954-749-9905,,
4664,MLD1224,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1224,2026-08-28,"ACOPIA, LLC",306 NORTHCREEK BLVD.,SUITE #100,GOODLETTSVILLE,,TN,37072-2086,,Yes,
4664,MLD314,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD314,2026-08-28,"ACOPIA, LLC",306 NORTHCREEK BLVD.,SUITE #100,GOODLETTSVILLE,,TN,37072-2086,888-859-5537,,
446933,MLD1772,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1772,2026-08-28,"ACQUISITIONS CAPITAL, INC.",200 S BISCAYNE BLVD #2710,,MIAMI,,FL,33131,3056398750,,
13988,MLD8,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD8,2026-08-28,"ACRE MORTGAGE & FINANCIAL, INC.",70 E MAIN ST,STE 100,MARLTON,,NJ,08053,8568101000,,
152859,MLD205,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD205,2026-08-28,"ACRISURE MORTGAGE, LLC",189 SOUTH ORANGE AVENUE,SUITE 970,ORLANDO,ORANGE,FL,32801,407-872-3383,Yes,
2387382,MLD2459,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2459,2026-08-28,"ACTIVE LINK, INC.",15991 RED HILL AVE,SUITE 200,TUSTIN,ORANGE,CA,92780,(951) 751-8466,,
2380533,MLD2785,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2785,2026-08-28,"ADAXA, LLC",16767 N. PERIMETER DR.,STE 150,SCOTTSDALE,MARICOPA,AZ,85260,,,
83618,MLD515,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD515,2026-08-28,"ADCHEMY, INC.",1001 E. HILLSDALE BLVD. 7TH FL,,FOSTER CITY,SAN MATEO,CA,94404,650-581-4633,,
1761573,MLD2364,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2364,2026-08-28,ADCOM GROUP INC,135 LAKE ST S,STE 230,KIRKLAND,KING,WA,98033,(833) 395-5626,,
38958,MLD343,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD343,2026-08-28,"ADVANCE MORTGAGE & INVESTMENT COMPANY, LLC","30500 STATE HIGHWAY 181, SUITE",,SPANISH FORT,BALDWIN,AL,36527,251-621-3557,,
2030129,MLD2317,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2317,2026-08-28,ADVANCED HORIZON LENDING,7755 CENTER AVE,"11TH FLOOR, OFFICE 1132",HUNTINGTON BEACH,ORANGE,CA,92647,7147675664,,
371067,MLD1140,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1140,2026-08-28,ADVANCED MORTGAGE LENDERS CORP,300 SEVILLA AVE,SUITE 210B,CORAL GABLES,DADE,FL,33134,3056482030,,
299329,MLD22,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD22,2026-08-28,"ADVANCED MORTGAGE PLANNERS, INC",1500 NW 49TH ST,#500,FT LAUDERDALE,BROWARD,FL,33309,9547768280,,
282214,MLD555,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD555,2026-08-28,ADVANCED MORTGAGE SOLUTIONS OF SOUTH FLORIDA. INC,621 NW 53RD ST #255,,BOCA RATON,PALM BEACH,FL,33487,561-353-1178,,
1209177,MLD1900,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1900,2026-08-28,ADVANTAGEFIRST LENDING INC.,2 SOUTH POINTE DRIVE,SUITES 200-235,LAKE FOREST,ORANGE,CA,92630,9493566400,,
1921588,MLD1843,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1843,2026-08-28,ADVENT HOME FUNDING CORPORATION,"1240 S FEDERAL HWY, SUITE 101",,BOYNTON BEACH,PALM BEACH,FL,33435,3173724923,,
1014392,MLD1603,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1603,2026-08-28,"ADVISORS CAPITAL, INC.",39810 GRAND RIVER AVE.,SUITE C-200,NOVI,OAKLAND,MI,48375,2489121415,,
2007902,MLD1916,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1916,2026-08-28,"ADVISORS CHOICE LENDING, INC.",4631 VAN DYKE ROAD,,LUTZ,HILLSBOROUGH,FL,33558,8135763720,,
33041,MLD686,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD686,2026-08-28,"ADVISORS MORTGAGE GROUP, L.L.C.",5114 ROUTE 33,,WALL,MONMOUTH,NJ,07727,732-292-3133,,
33041,MLD841,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD841,2026-08-28,"ADVISORS MORTGAGE GROUP, L.L.C.",5114 ROUTE 33,,WALL,MONMOUTH,NJ,07727,732-292-3133,Yes,
2436773,MLD2606,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2606,2026-08-28,AEQUITAS MORTGAGE INC.,12414 SPRING CYPRESS RD,SUITE G,TOMBALL,HARRIS,TX,77377,(847) 636-1255,,
2801,MLD1839,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1839,2026-08-28,"AFC MORTGAGE GROUP, LLC",471 MONROE TURNPIKE,SUITE 3F,MONROE,,CT,06468,,,
2791163,MLD2745,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2745,2026-08-28,AFEX MORTGAGE LLC,700 TOWER DRIVE,SUITE 610,TROY,OAKLAND,MI,48098,5867419426,,
1181151,MLD2157,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2157,2026-08-28,AFFINITY HOME LENDING LLC,84 CHURCH STREET SUITE A,,MARIETTA,COBB,GA,30060,(770) 354-6463,,
292259,MLD855,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD855,2026-08-28,"AFFINITY LENDING SOLUTIONS, LLC",1700 WEST LOOP SOUTH SUITE 210,,HOUSTON,HARRIS,TX,77027,713-960-1377,,
2579,MLD1153,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1153,2026-08-28,"AFFINITY MORTGAGE, L.L.C.",8725 ROSEHILL ROAD,#109,LENEXA,JOHNSON,KS,66215,9134404534,,
139164,MLD1947,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1947,2026-08-28,"AFFORDABLE MORTGAGE ADVISORS, LLC",4640 CAMPBELLS RUN RD,,PITTSBURGH,ALLEGHENY,PA,15205,4129215263,,
2431,MLD991,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD991,2026-08-28,AFI FINANCIAL INC.,42400 9 MILE RD STE W5,STE 600,NOVI,OAKLAND,MI,48375,5618079550,,
372267,MLD928,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD928,2026-08-28,AGAMERICA LENDING LLC,4030 SOUTH PIPKIN RD,SUITE 100,LAKELAND,POLK,FL,33811,8639408905,Yes,
1951574,MLD2545,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2545,2026-08-28,"AGAVE HOME LOANS, LLC",3230 EAST BROADWAY ROAD,SUITE B-220,PHOENIX,MARICOPA,AZ,85040,,,
27830,MLD1439,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1439,2026-08-28,"AGES MORTGAGE, LLC",192 HEADQUARTERS PLAZA,"EAST TOWER, 6TH FLOOR",MORRISTOWN,MORRIS,NJ,07960,6466935929,Yes,
27830,MLD1440,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1440,2026-08-28,"AGES MORTGAGE, LLC",192 HEADQUARTERS PLAZA,"EAST TOWER, 6TH FLOOR",MORRISTOWN,MORRIS,NJ,07960,4257869883,,
1370963,MLD1607,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1607,2026-08-28,AHL FUNDING,4 PARK PLAZA,SUITE 730,IRVINE,ORANGE,CA,92614,(949) 330-0988,,
