lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,florida_originations,total_originations,priority_match,notes
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,curated_lei_public_nmls,6131,52360,high,Chase mortgage originations; linked to directory slug jpmorgan-chase-bank
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,curated_lei_public_nmls,6117,27554,high,GLEIF: Truist Bank; linked to directory slug truist-bank
549300VN9E1DEKF26E34,SPACE COAST CREDIT UNION,403370,space-coast-credit-union,Space Coast Credit Union,high,curated_public_nmls+directory_profile,5900,5900,high,FL credit union; company NMLS #403370 from sccu.com; linked to space-coast-credit-union
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,curated_lei_public_nmls,5826,16469,high,GLEIF: Regions Bank; linked to directory slug regions-bank
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,curated_lei_public_nmls,5643,32624,high,Newrez (Shellpoint family); verify branch branding; linked to directory slug newrez
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,curated_lei+directory_name,5506,34380,high,Matches directory Movement Myrtle Beach family; directory score=0.94; company_nmls_ref=39179
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-west-valley,Guild Mortgage (West Valley Branches),high,curated_lei+directory_name,5374,32573,high,Matches directory Guild West Valley / multi-state Guild entries; directory score=0.94; company_nmls_ref=3274
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,curated_lei+directory_name,4627,21859,high,CMG Financial; directory has CMG Home Loans teams; directory score=0.94; company_nmls_ref=1820
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,curated_lei_public_nmls,4388,35702,high,AmeriHome; linked to directory slug amerihome-mortgage
5493004WMLN60ZJ2ON46,"Paramount Residential Mortgage Group, Inc.",75243,prmg,Paramount Residential Mortgage Group (PRMG),high,curated_lei+directory_name,4200,12405,high,PRMG company NMLS; directory also lists PRMG 75243 (branch/entity); directory score=0.93; company_nmls_ref=1041
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,curated_lei_public_nmls,4122,32390,high,Cardinal Financial; linked to directory slug cardinal-financial
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,curated_lei_public_nmls,3881,28219,high,DBA New American Funding; matches directory NAF West Valley; linked to directory slug new-american-funding
5493008CPTDVOS570626,"Primary Residential Mortgage, Inc.",3094,prmi-aaron-swenson,Primary Residential Mortgage (Aaron Swenson Branch),high,curated_lei+directory_name,3765,9698,high,PRMI company; directory has PRMI Aaron Swenson branch 3094; directory score=0.93; company_nmls_ref=3087
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,gleif_name_to_directory,3741,14606,high,"GLEIF 'PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.' → directory; score=0.93"
549300K7224BC1IAX207,DHI Mortgage Company Limited,14622,dhi-mortgage-buckeye,DHI Mortgage (Buckeye / West Valley),high,curated_lei+directory_name,3721,3729,high,D.R. Horton captive; matches directory DHI Buckeye entry family; directory score=0.94; company_nmls_ref=14622
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,curated_lei_public_nmls,3553,8501,high,Lennar-affiliated captive lender; linked to directory slug eagle-home-mortgage
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,curated_lei_public_nmls,3546,24320,high,GLEIF: Nationstar / Mr. Cooper; linked to directory slug mr-cooper
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,curated_lei_public_nmls,3475,31644,high,GLEIF: PNC Bank; linked to directory slug pnc-bank
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,curated_lei_public_nmls,3204,33460,high,DBA Mr. Cooper; linked to directory slug mr-cooper
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,curated_lei+directory_name,3153,27933,high,PrimeLending company; directory has regional PrimeLending teams; directory score=0.94; company_nmls_ref=13649
549300XWUSRVVOHPRY47,Academy Mortgage Corporation,3113,academy-mortgage,Academy Mortgage Corporation,high,curated_lei_public_nmls,2938,11125,high,Academy Mortgage; linked to directory slug academy-mortgage
5493005JPZ3LXXMB0S24,"Carrington Mortgage Services, LLC",2250,carrington-mortgage,"Carrington Mortgage Services, LLC",high,curated_lei_public_nmls,2916,4843,high,Carrington; linked to directory slug carrington-mortgage
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,curated_lei_public_nmls,2790,28518,high,Ally Home mortgage originations; linked to directory slug ally-bank
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,curated_lei_public_nmls,2722,19327,high,GLEIF: TD Bank; linked to directory slug td-bank
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,curated_lei_public_nmls,2675,17434,high,Better.com; linked to directory slug better-mortgage
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,curated_lei_public_nmls,2670,26714,high,GLEIF: Wells Fargo Bank; linked to directory slug wells-fargo-bank
8I3UVGYULPJQIP7FQV10,"SouthState Bank, National Association",405461,southstate-bank,"SouthState Bank, National Association",high,curated_lei_public_nmls,2616,8702,high,GLEIF: SouthState Bank; linked to directory slug southstate-bank
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",6521,homebridge-financial,"Homebridge Financial Services, Inc.",high,curated_public_nmls+directory_profile,2433,11532,high,Linked to homebridge-financial
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,curated_lei_public_nmls,2297,44765,high,GLEIF: Citizens Bank; linked to directory slug citizens-bank
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,curated_lei_public_nmls,2279,28165,high,GLEIF: U.S. Bank; linked to directory slug us-bank
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,curated_public_nmls+directory_profile,2098,14961,high,Manufactured housing specialist; linked to 21st-mortgage — re-confirm NMLS on Consumer Access
IUGPUX5LWRZ3B6KIZ697,Ameris Bank,405455,ameris-bank,Ameris Bank,high,curated_lei_public_nmls,1846,10949,high,GLEIF: Ameris Bank; linked to directory slug ameris-bank
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage (Inland Empire),medium,gleif_name_to_directory,1750,10525,high,GLEIF 'AMERICAN PACIFIC MORTGAGE CORPORATION' → directory; score=0.93
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,AmeriSave Mortgage Corporation,high,curated_lei_public_nmls,1667,11005,high,GLEIF: AmeriSave; linked to directory slug amerisave
549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",4095,lakeview-loan-servicing,"Lakeview Loan Servicing, LLC",high,curated_public_nmls+directory_profile,1488,7907,high,Linked to lakeview-loan-servicing
COOWI3L2W9TPYR3WJX37,First Horizon Bank,405456,first-horizon-bank,First Horizon Bank,high,curated_lei_public_nmls,1045,5739,high,GLEIF: First Horizon Bank; linked to directory slug first-horizon-bank
54930054ET8KM4O1D485,"SOFI BANK, NATIONAL ASSOCIATION",1121636,sofi-bank,"SoFi Bank, National Association",high,curated_lei_public_nmls,1042,7934,high,GLEIF: SoFi Bank; linked to directory slug sofi-bank
549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,330511,better-mortgage,Better Mortgage Corporation,high,curated_lei_public_nmls,1004,7581,high,GLEIF: Better Mortgage Corporation; linked to directory slug better-mortgage
549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,401822,penfed-dc-mid-city,Pentagon Federal Credit Union,high,gleif_name_to_directory,972,5893,high,GLEIF 'PENTAGON FEDERAL CREDIT UNION' → directory; score=1.00
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,gleif_name_to_directory,931,13646,high,"GLEIF 'PRIMELENDING, A PLAINSCAPITAL COMPANY' → directory; score=0.94"
5493006ZBGVXBAMCRG16,FLORIDA,1299512,floridas-va-mortgage-center,Florida,high,gleif_name_to_directory,840,840,high,GLEIF 'FLORIDA' → directory; score=1.00
C5654JQHZUHN0772B561,USAA Federal Savings Bank,399809,usaa-federal-savings-bank,USAA Federal Savings Bank,high,curated_lei_public_nmls,825,5099,high,GLEIF: USAA FSB; linked to directory slug usaa-federal-savings-bank
SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",399797,flagstar-bank,"Flagstar Bank, National Association",high,curated_lei_public_nmls,737,4219,high,GLEIF: Flagstar Bank; linked to directory slug flagstar-bank
549300IKNQI45EOJU155,"Capital City Home Loans, LLC",75615,capital-city-home-loans,Capital City Home Loans (Alpharetta),medium,gleif_name_to_directory,599,1557,high,"GLEIF 'Capital City Home Loans, LLC' → directory; score=0.93"
549300DMHEHNYZ2OLB41,First United Bank and Trust Company,,first-united-bank-and-trust,First United Bank and Trust Company,high,regional_quality_gleif+directory_slug,0,12,medium,regional_quality map for FL activity (12 FL originations); slug=first-united-bank-and-trust.
549300OQMU3ID8QA6M46,VELOCIO MORTGAGE L.L.C.,,velocio-mortgage,Velocio Mortgage L.L.C.,high,regional_quality_gleif+directory_slug,0,4,medium,regional_quality map for FL activity (4 FL originations); slug=velocio-mortgage.
549300KHXD7JSQUZIJ22,"HIGHLANDS RESIDENTIAL MORTGAGE, LTD.",,highlands-residential-mortgage,"Highlands Residential Mortgage, Ltd.",high,regional_quality_gleif+directory_slug,0,138,medium,regional_quality map for FL activity (138 FL originations); slug=highlands-residential-mortgage.
5493002QI2ILHHZH8D20,"KBHS HOME LOANS, LLC",,kbhs-home-loans,"KBHS Home Loans, LLC",high,regional_quality_gleif+directory_slug,0,1371,high,regional_quality map for FL activity (1371 FL originations); slug=kbhs-home-loans.
549300UI36AJZ0WZ4U93,"TAYLOR MORRISON HOME FUNDING, INC.",,taylor-morrison-home-funding,"Taylor Morrison Home Funding, Inc.",high,regional_quality_gleif+directory_slug,0,1773,high,regional_quality map for FL activity (1773 FL originations); slug=taylor-morrison-home-funding.
549300CY7WNAHKHYSJ73,"CORNERSTONE CAPITAL BANK, SSB",,cornerstone-capital-bank,"Cornerstone Capital Bank, SSB",high,regional_quality_gleif+directory_slug,0,58,medium,regional_quality map for FL activity (58 FL originations); slug=cornerstone-capital-bank.
549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",,triad-financial-services,"Triad Financial Services, Inc.",high,regional_quality_gleif+directory_slug,0,774,high,regional_quality map for FL activity (774 FL originations); slug=triad-financial-services.
549300PXL1KA5TOL2O82,"M/I FINANCIAL, LLC",,mi-financial,"M/I Financial, LLC",high,regional_quality_gleif+directory_slug,0,1223,high,regional_quality map for FL activity (1223 FL originations); slug=mi-financial.
549300VCMRO4ST680C11,VILLAGE CAPITAL & INVESTMENT LLC,,village-capital,Village Capital & Investment LLC,high,regional_quality_gleif+directory_slug,0,935,high,regional_quality map for FL activity (935 FL originations); slug=village-capital.
5493007VW2EU20PZYU97,INSPIRE HOME LOANS INC.,,inspire-home-loans,Inspire Home Loans Inc.,high,regional_quality_gleif+directory_slug,0,896,high,regional_quality map for FL activity (896 FL originations); slug=inspire-home-loans.
549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,,equity-prime-mortgage,Equity Prime Mortgage LLC,high,regional_quality_gleif+directory_slug,0,1337,high,regional_quality map for FL activity (1337 FL originations); slug=equity-prime-mortgage.
54930049L5WINET09Q97,"CLICK N' CLOSE, INC.",,click-n-close,"Click N' Close, Inc.",high,regional_quality_gleif+directory_slug,0,2049,high,regional_quality map for FL activity (2049 FL originations); slug=click-n-close.
549300YN94MOAVYW0F52,"GoodLeap, LLC",,goodleap,"GoodLeap, LLC",high,regional_quality_gleif+directory_slug,0,819,high,regional_quality map for FL activity (819 FL originations); slug=goodleap.
549300T94GSH3C4U5M59,ALLIANT CREDIT UNION,197185,alliant-credit-union,Alliant Credit Union,high,regional_quality_gleif+public_nmls,0,679,high,regional_quality map for FL activity (679 FL originations); slug=alliant-credit-union.
254900TTZ395IC926125,"SIERRA PACIFIC MORTGAGE COMPANY, INC.",,sierra-pacific-mortgage,"Sierra Pacific Mortgage Company, Inc.",high,regional_quality_gleif+directory_slug,0,341,medium,regional_quality map for FL activity (341 FL originations); slug=sierra-pacific-mortgage.
5493008VVXQIDO1EZ460,"SUMMIT FUNDING, INC.",,summit-funding,"Summit Funding, Inc.",high,regional_quality_gleif+directory_slug,0,225,medium,regional_quality map for FL activity (225 FL originations); slug=summit-funding.
549300ZWNETGFXTBBY03,"CANOPY MORTGAGE, LLC",,canopy-mortgage,"Canopy Mortgage, LLC",high,regional_quality_gleif+directory_slug,0,149,medium,regional_quality map for FL activity (149 FL originations); slug=canopy-mortgage.
549300QKL5FUBZ8LSF50,"NATIONS DIRECT MORTGAGE, LLC",,nations-direct-mortgage,"Nations Direct Mortgage, LLC",high,regional_quality_gleif+directory_slug,0,268,medium,regional_quality map for FL activity (268 FL originations); slug=nations-direct-mortgage.
549300TQWW6MLVH6KY61,ALLEGACY FEDERAL CREDIT UNION,411603,allegacy-federal-credit-union,Allegacy Federal Credit Union,high,regional_quality_gleif+public_nmls,0,13,medium,regional_quality map for FL activity (13 FL originations); slug=allegacy-federal-credit-union.
5493004NO7XCFVG4KD53,Y-12 Federal Credit Union,441816,y-12-federal-credit-union,Y-12 Federal Credit Union,high,regional_quality_gleif+public_nmls,0,1,medium,regional_quality map for FL activity (1 FL originations); slug=y-12-federal-credit-union.
5493001UYBOONMFYPR30,"Legacy Home Loans, LLC",,legacy-home-loans,"Legacy Home Loans, LLC",high,regional_quality_gleif+directory_slug,0,5,medium,regional_quality map for FL activity (5 FL originations); slug=legacy-home-loans.
54930059GZZ7G4G40O53,Primis Mortgage Company,1894879,primis-mortgage,Primis Mortgage Company,high,regional_quality_gleif+public_nmls,0,69,medium,regional_quality map for FL activity (69 FL originations); slug=primis-mortgage.
